DATES,BND US Equity,BNDX US Equity,VBK US Equity,VUG US Equity,VBR US Equity,VTV US Equity,VEA US Equity,VWO US Equity
2001/1/1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/1/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001/2/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
